,Time,Data
0,0,-83.0
1,1,1.821
2,2,93.0
3,3,-164.0
4,4,-1.388
5,5,129.0
6,6,-146.0
7,7,5.561
8,8,93.0
9,9,-183.0
10,10,-5.904
11,11,152.0
12,12,-156.0
13,13,0.09
14,14,156.0
15,15,-146.0
16,16,0.654
17,17,160.0
18,18,-102.0
19,19,2.363
20,20,120.0
21,21,-262.0
22,22,-23.779
23,23,241.0
24,24,-240.0
25,25,27.117
26,26,194.0
27,27,-250.0
28,28,-4.836
29,29,178.0
30,30,-258.0
31,31,-3.137
32,32,207.0
33,33,-149.0
34,34,-3.827
35,35,147.0
36,36,-116.0
37,37,-0.025
38,38,120.0
39,39,-152.0
40,40,5.975
41,41,130.0
42,42,-221.0
43,43,-6.214
44,44,262.0
45,45,-196.0
46,46,3.796
47,47,153.0
48,48,-300.0
49,49,6.322
50,50,124.0
51,51,-129.0
52,52,-1.65
53,53,152.0
54,54,-247.0
55,55,-8.854
56,56,186.0
57,57,-278.0
58,58,5.135
59,59,258.0
60,60,-276.0
61,61,-1.556
62,62,239.0
63,63,-123.0
64,64,7.956
65,65,153.0
66,66,-160.0
67,67,-1.369
68,68,145.0
69,69,-301.0
70,70,-12.349
71,71,196.0
72,72,-160.0
73,73,7.849
74,74,167.0
75,75,-230.0
76,76,-5.629
77,77,118.0
78,78,-161.0
79,79,1.875
80,80,186.0
81,81,-137.0
82,82,-3.163
83,83,116.0
84,84,-101.0
85,85,2.777
86,86,134.0
87,87,-150.0
88,88,3.115
89,89,143.0
90,90,-153.0
91,91,-2.125
92,92,92.0
93,93,-208.0
94,94,-5.617
95,95,117.0
96,96,-168.0
97,97,3.592
98,98,122.0
99,99,-170.0
100,100,-2.18
101,101,100.0
102,102,-186.0
103,103,1.467
104,104,113.0
105,105,-180.0
106,106,-1.468
107,107,114.0
108,108,-166.0
109,109,7.159
110,110,133.0
111,111,-191.0
112,112,-2.34
113,113,137.0
114,114,-190.0
115,115,-3.933
116,116,166.0
