Time,Data
0,1.821
1,-1.388
2,5.561
3,-5.904
4,0.09
5,0.654
6,2.363
7,-23.779
8,27.117
9,-4.836
10,-3.137
11,-3.827
12,-0.025
13,5.975
14,-6.214
15,3.796
16,6.322
17,-1.65
18,-8.854
19,5.135
20,-1.556
21,7.956
22,-1.369
23,-12.349
24,7.849
25,-5.629
26,1.875
27,-3.163
28,2.777
29,3.115
30,-2.125
31,-5.617
32,3.592
33,-2.18
34,1.467
35,-1.468
36,7.159
37,-2.34
38,-3.933
39,2.413
40,-1.08
41,-0.477
42,0.397
43,-4.807
44,7.082
45,-3.751
46,0.484
47,10.496
48,-14.404
49,5.542
50,-1.531
51,3.234
52,-7.176
53,3.305
54,-0.839
55,-1.237
56,-1.056
57,5.328
58,-3.566
59,3.527
60,-4.357
61,1.404
62,-1.882
63,2.99
64,-4.039
65,1.813
66,-0.775
67,-0.062
68,0.271
69,-4.784
70,5.074
71,-2.555
72,-0.709
73,2.768
74,1.399
75,-1.569
76,-0.282
77,1.821
78,-4.029
79,2.975
80,-3.866
81,-0.477
82,2.29
83,-0.84
84,-4.052
85,5.889
86,-2.198
87,-3.707
88,3.192
89,2.636
90,-5.709
91,1.915
92,-2.806
93,2.389
94,-0.202
95,2.161
96,-1.746
97,2.717
98,-3.529
99,-0.266
100,0.783
101,-1.106
102,0.565
103,2.951
104,-7.969
105,7.508
106,-0.956
107,-7.099
108,5.625
109,5.095
110,-8.143
111,0.003
112,0.68
113,-0.073
114,-0.145
115,1.333
116,-4.473
117,3.635
118,-6.324
119,4.093
120,2.318
121,-2.94
122,-2.019
123,4.225
124,-6.276
125,1.144
126,6.966
127,-0.028
128,-4.118
129,-2.123
130,2.279
131,3.092
132,-4.071
133,-1.397
134,7.512
135,-7.562
136,1.654
137,-1.522
138,-1.435
139,0.296
140,1.349
141,-2.918
142,6.276
143,-0.214
144,-2.808
145,-1.217
146,7.055
147,-9.031
148,3.188
149,-7.671
150,1.203
151,2.282
152,4.68
153,-5.354
154,1.698
155,-4.068
156,4.342
157,-2.471
158,1.186
159,2.486
160,-6.364
161,3.005
162,-2.014
163,-2.275
164,4.374
165,-2.562
166,2.456
167,1.076
168,-1.585
169,0.297
170,3.116
171,-6.205
172,-0.626
173,-2.693
174,4.971
175,-1.17
176,8.112
177,-10.885
178,3.175
179,1.143
180,0.634
181,0.702
182,-8.008
183,6.845
184,-0.857
